index,MODEL,RESIDUAL MODEL,INPUTS,BEST LAG,R2 OSA TRAIN,R2 FS TRAIN,RMSE OSA TRAIN,RMSE FS TRAIN,R2 OSA TOTAL,R2 FS TOTAL,RMSE OSA TOTAL,RMSE FS TOTAL,TIME MEAN
514,GradientBoosting,KNN,MISO+Residuals,19,0.975,0.767,0.041,0.127,0.914,0.759,0.08,0.134,2.521
537,MLP,GradientBoosting,MISO+Residuals,19,0.945,0.754,0.062,0.131,0.889,0.739,0.091,0.14,6.214
436,ExtraTrees,RandomForest,MISO+Residuals,12,0.976,0.768,0.041,0.127,0.908,0.732,0.083,0.142,0.242
595,RandomForest,DecisionTree,MISO+Residuals,20,0.934,0.745,0.068,0.133,0.889,0.721,0.091,0.144,0.355
107,PolyReg,GradientBoosting,MISO+Residuals,5,0.903,0.735,0.082,0.136,0.865,0.719,0.1,0.145,0.743
387,SVM,GradientBoosting,MISO+Residuals,12,0.908,0.717,0.08,0.14,0.869,0.701,0.099,0.149,0.8
588,DecisionTree,ExtraTrees,MISO+Residuals,20,0.907,0.697,0.081,0.145,0.839,0.687,0.11,0.153,1.897
573,KNN,SVM,MISO+Residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.006
6,LinReg,RandomForest,MISO+Residuals,4,0.922,0.692,0.074,0.146,0.87,0.661,0.098,0.159,0.501
